Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
953398,88103HDB19,HDB FINANCIAL SERVICES Ltd,Active,F ,1000000.00,INE756I07829,Financial Institutions,Debentures and Bonds
953400,870IIL21I,India Infradebt Ltd,Active,F ,1000000.00,INE537P07091,Other Financial Services,Debentures and Bonds
953401,870IIL26II,India Infradebt Ltd,Active,F ,1000000.00,INE537P07109,Other Financial Services,Debentures and Bonds
953402,881HDB19,HDB FINANCIAL SERVICES Ltd,Active,F ,1000000.00,INE756I07837,Financial Institutions,Debentures and Bonds
953403,87500LTIF26,L&amp;T Infrastructure Finance Company Ltd,Active,F ,2500000.00,INE691I07CM9,Finance (including NBFCs),Debentures and Bonds
953404,11AHFC21,Aspire Home Finance Corporation Ltd,Active,F ,1000000.00,INE658R08024,Housing Finance ,Debentures and Bonds
953405,0JMFPL19,JM FINANCIAL PRODUCTS Ltd,Active,F ,1000000.00,INE523H07346,Finance (including NBFCs),Debentures and Bonds
953406,0JMFCSL19,JM Financial Credit Solutions Ltd,Active,F ,1000000.00,INE651J07093,Investment Companies,Debentures and Bonds
953409,1060SREI26H,SREI Equipment Finance Ltd,Active,F ,1000000.00,INE881J08391,Financial Institutions,Debentures and Bonds
953410,970JMFCSL21,JM Financial Credit Solutions Ltd,Active,F ,1000000.00,INE651J07101,Investment Companies,Debentures and Bonds
953411,815PGCIL20,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07MI5,Electric Utilities,Debentures and Bonds
953412,879AFL19,Axis Finance Ltd,Active,F ,1000000.00,INE891K07226,Finance (including NBFCs),Debentures and Bonds
953413,815PGCIL25,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07MJ3,Electric Utilities,Debentures and Bonds
953414,815PGCIL30,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07MK1,Electric Utilities,Debentures and Bonds
953415,832PGCIL20,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07NJ1,Electric Utilities,Debentures and Bonds
953416,840PGCIL19,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07ML9,Electric Utilities,Debentures and Bonds
953417,832PGCIL25,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07NK9,Electric Utilities,Debentures and Bonds
953418,840PGCIL20,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07MM7,Electric Utilities,Debentures and Bonds
953419,840PGCIL21,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07MN5,Electric Utilities,Debentures and Bonds
953420,832PGCIL30,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07NL7,Electric Utilities,Debentures and Bonds
953421,840PGCIL22,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07MO3,Electric Utilities,Debentures and Bonds
953422,840PGCIL19A,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07MX4,Electric Utilities,Debentures and Bonds
953423,840PGCIL23,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07MP0,Electric Utilities,Debentures and Bonds
